player,club,competition,season_used,position,matches,minutes,shots,goals,xg,np_goals,np_xg,assists,xa,xg_chain,xg_buildup,xg_per_match,goals_per_match,np_xg_per90,shot_accuracy
Diego Gómez,Brighton,ENG-Premier League,2526,F M S,32,2186,42,5,6.418,5,6.418,1,2.092,14.406,7.101,0.2006,0.1562,0.2642,0.119
Mattia Zaccagni,Lazio,ITA-Serie A,2526,F M,26,2127,34,3,6.384,3,5.623,0,2.789,9.419,4.158,0.2455,0.1154,0.2379,0.088
Alexis Claude Maurice,Augsburg,GER-Bundesliga,2526,F M S,29,2135,71,5,6.339,4,4.823,4,3.216,10.869,5.333,0.2186,0.1724,0.2033,0.07
Rayan Fofana,Lens,FRA-Ligue 1,2526,F M S,25,759,36,5,6.315,5,6.315,0,0.337,7.499,1.429,0.2526,0.2,0.7489,0.139
Noah Okafor,Leeds,ENG-Premier League,2526,F M S,28,1592,35,8,6.297,8,6.297,1,2.259,10.916,3.822,0.2249,0.2857,0.356,0.229
Paulo Dybala,Roma,ITA-Serie A,2526,F M S,22,1360,43,2,6.285,2,5.524,6,6.363,11.416,3.381,0.2857,0.0909,0.3655,0.047
Jamie Vardy,Cremonese,ITA-Serie A,2526,F S,29,2120,30,7,6.282,7,6.282,2,2.124,10.19,2.68,0.2166,0.2414,0.2667,0.233
Serge Gnabry,Bayern Munich,GER-Bundesliga,2526,F M S,21,1280,50,8,6.265,8,6.265,6,5.151,16.288,8.14,0.2983,0.381,0.4405,0.16
Stefano Moreo,Pisa,ITA-Serie A,2526,F M S,37,2336,52,7,6.222,5,4.7,1,3.547,9.92,3.687,0.1682,0.1892,0.1811,0.135
Michael Gregoritsch,Augsburg,GER-Bundesliga,2526,F S,17,926,29,6,6.215,5,5.458,2,1.518,6.945,2.203,0.3656,0.3529,0.5304,0.207
Ilan Kebbal,Paris FC,FRA-Ligue 1,2526,F M S,29,2247,50,9,6.202,6,3.162,4,5.014,13.746,7.553,0.2139,0.3103,0.1266,0.18
Iliman Ndiaye,Everton,ENG-Premier League,2526,M,32,2805,43,6,6.144,4,4.621,3,4.457,15.464,6.866,0.192,0.1875,0.1483,0.14
Nicolo Zaniolo,Udinese,ITA-Serie A,2526,F M S,32,2308,72,5,6.144,5,6.144,6,5.693,12.041,3.449,0.192,0.1562,0.2396,0.069
Giuliano Simeone,Atletico Madrid,ESP-La Liga,2526,D F M S,31,2153,36,4,6.101,4,6.101,6,5.527,18.557,9.045,0.1968,0.129,0.255,0.111
Jens Stage,Werder Bremen,GER-Bundesliga,2526,M,29,2489,57,10,6.098,10,6.098,2,3.477,12.631,5.692,0.2103,0.3448,0.2205,0.175
Prosper Peter,Angers,FRA-Ligue 1,2526,F S,29,1257,23,5,6.074,5,6.074,0,0.898,7.393,0.567,0.2095,0.1724,0.4349,0.217
Henrikh Mkhitaryan,Inter,ITA-Serie A,2526,M S,30,1547,43,4,6.04,4,6.04,1,3.311,18.363,12.081,0.2013,0.1333,0.3514,0.093
Oliver Burke,Union Berlin,GER-Bundesliga,2526,F M S,29,1699,34,6,6.037,6,6.037,2,2.29,9.287,1.81,0.2082,0.2069,0.3198,0.176
